ticker,timestamp,open,high,low,close,volume
MRK,10/16/23,102.83,105.37,100.92,104.14,67907278
MRK,9/29/23,109.65,110.37,102.71,102.95,121822953
MRK,8/31/23,109.6,112.02,104.42,108.98,160957707
MRK,7/31/23,114.47,114.62,105.17,106.65,146112890
MRK,6/30/23,110.66,115.61,106.87,115.39,172473257
MRK,5/31/23,115.8,119.65,108.47,110.41,141581506
MRK,4/28/23,105.95,116.86,105.57,115.47,120949331
MRK,3/31/23,105.96,112.18,102.44,106.39,216567989
MRK,2/28/23,106.97,111.2432,101.75,106.24,157436276
MRK,1/31/23,110.41,115.49,105.11,107.41,172747318
MRK,12/30/22,109.75,112.89,107.32,110.95,188421157
MRK,11/30/22,100.65,110.33,97.33,110.12,201128728
MRK,10/31/22,86.72,101.5,86.02,101.2,204669125
MRK,9/30/22,85.64,89.165,84.52,86.12,169468533
MRK,8/31/22,89.34,93.02,85.16,85.36,177612922
MRK,7/29/22,91.3,95.35,87.42,89.34,178377586
MRK,6/30/22,91.67,95.72,83.05,91.17,270579547
MRK,5/31/22,88.72,94.92,86.36,92.03,264473127
MRK,4/29/22,82.19,90.01,81.64,88.69,240058281
MRK,3/31/22,76.5,83.375,75.95,82.05,234688515
MRK,2/28/22,81.96,82.295,72.875,76.58,249221346
MRK,1/31/22,76.58,82.56,75.35,81.48,273882244
MRK,12/31/21,75.53,77.74,71.5,76.64,291109909
MRK,11/30/21,88.05,91.4,73.84,74.91,315398602
MRK,10/29/21,81.56,88.46,77.11,88.05,420386637
MRK,9/30/21,76.22,77.38,70.89,75.11,284872511
MRK,8/31/21,76.93,79.23,74.815,76.29,181714786
MRK,7/30/21,77.65,78.77,75.64,76.87,178624294
MRK,6/30/21,76.06,78.09,72.075,77.77,322646212
MRK,5/28/21,74.26,80.34,74.22,75.89,222004545
MRK,4/30/21,77.16,79.49,72.85,74.5,234804770
MRK,3/31/21,73.21,78.545,71.715,77.09,334019292
MRK,2/26/21,77.99,78.92,72.54,72.62,211609492
MRK,1/29/21,82,85.6,76.39,77.07,193599623
MRK,12/31/20,80.95,83.94,77.735,81.8,192506943
MRK,11/30/20,76.45,85.17,75.64,80.39,170482665
MRK,10/30/20,83.18,83.34,73.94,75.21,186061560
MRK,9/30/20,85.35,87.8,81.7,82.95,179239981
MRK,8/31/20,82.15,86.29,80.03,85.27,148276216
MRK,7/31/20,77.43,81.68,76.04,80.24,175750907
MRK,6/30/20,80.18,83.51,73.57,77.33,241100768
MRK,5/29/20,78.86,81,75.43,80.72,209543507
MRK,4/30/20,74.66,84.67,72.99,79.34,244070098
MRK,3/31/20,77.13,83.07,65.25,76.94,389582860
MRK,2/28/20,86.04,89.2,74.18,76.56,263377328
MRK,1/31/20,91.08,92.14,84.71,85.44,195626165
MRK,12/31/19,87.54,92.64,86.5,90.95,153790901
MRK,11/29/19,87.07,87.87,82.67,87.18,165086270
MRK,10/31/19,84.18,86.99,80.25,86.66,185422270
MRK,9/30/19,86.24,87.17,78.85,84.18,180621338
MRK,8/30/19,83.06,87.35,82.16,86.47,180256446
MRK,7/31/19,84.33,87.07,78.63,82.99,221866936
MRK,6/28/19,79.65,86.5,79.52,83.85,225785455
MRK,5/31/19,78.69,81.94,76.8,79.21,204567677
MRK,4/30/19,83.73,83.85,72.23,78.71,259665192
