ticker,timestamp,open,high,low,close,volume
ZTS,10/16/23,173.2,177.55,169.19,175.18,15981567
ZTS,9/29/23,192.97,193.35,172.7901,173.98,31009784
ZTS,8/31/23,187.46,194.3653,177.25,190.51,40337170
ZTS,7/31/23,170.53,194.99,166,188.09,39788372
ZTS,6/30/23,162.9,174.675,161.61,172.21,42693509
ZTS,5/31/23,175.72,187.8199,158.65,163.01,50166611
ZTS,4/28/23,166.79,177.44,164.2,175.78,26868835
ZTS,3/31/23,165.96,171.975,159.39,166.44,45016313
ZTS,2/28/23,165.45,176.66,157.87,167,41340953
ZTS,1/31/23,148.66,169.57,141.52,165.49,48325134
ZTS,12/30/22,156,158.48,140.76,146.55,44243242
ZTS,11/30/22,151.4,154.91,124.1483,154.14,62047515
ZTS,10/31/22,149.28,155.63,141.87,150.78,39664930
ZTS,9/30/22,155.79,167.21,147.77,148.29,40872989
ZTS,8/31/22,181,182.12,156.21,156.53,33894166
ZTS,7/29/22,172.07,183.805,165.75,182.55,32507126
ZTS,6/30/22,170.87,175.21,154.18,171.89,39574144
ZTS,5/31/22,176.39,180.44,156.67,170.93,55024359
ZTS,4/29/22,188.77,201.32,176.44,177.25,42408081
ZTS,3/31/22,193.91,197.375,181.16,188.59,48794107
ZTS,2/28/22,200.99,205.305,183.02,193.65,49059136
ZTS,1/31/22,242.29,243.24,185.72,199.79,60483856
ZTS,12/31/21,222.35,249.27,219.25,244.03,30438159
ZTS,11/30/21,215.82,228.89,208.78,222.04,33454725
ZTS,10/29/21,194.14,216.915,190.93,216.2,28135054
ZTS,9/30/21,204.56,210.1,191.33,194.14,31838084
ZTS,8/31/21,203.48,208.56,195.61,204.56,27647171
ZTS,7/30/21,187,205.67,186.61,202.7,38902091
ZTS,6/30/21,177.36,188.53,171.88,186.36,35743111
ZTS,5/28/21,174.7,178.71,165.22,176.68,36940021
ZTS,4/30/21,157.71,174.85,155.41,173.03,37304339
ZTS,3/31/21,156.11,160.38,141.41,157.48,53748275
ZTS,2/26/21,156.2,170.07,154.25,155.24,39430270
ZTS,1/29/21,166,170.49,152.3,154.25,34339428
ZTS,12/31/20,161.64,165.675,156.44,165.5,34223026
ZTS,11/30/20,161.31,176.64,159.245,160.38,38538379
ZTS,10/30/20,166.23,168.96,156.25,158.55,36486109
ZTS,9/30/20,160.71,166.79,152.5028,165.37,32363345
ZTS,8/31/20,152.19,163.98,151.73,160.1,31648817
ZTS,7/31/20,137.29,151.91,135.34,151.68,30283141
ZTS,6/30/20,138.65,143.21,130.41,137.04,38002246
ZTS,5/29/20,127.44,140.24,121.5,139.39,46159633
ZTS,4/30/20,113.93,131.54,110.75,129.31,53012112
ZTS,3/31/20,133.84,143.7,90.14,117.69,87218082
ZTS,2/28/20,134.73,146.26,127,133.23,42834659
ZTS,1/31/20,132.05,143.33,131.48,134.21,41117978
ZTS,12/31/19,120.87,133.66,118,132.35,40192561
ZTS,11/29/19,128.78,129.18,114.96,120.52,50980064
ZTS,10/31/19,124.99,130.2,121.04,127.92,42239858
ZTS,9/30/19,126.13,130.08,119.52,124.59,42499438
ZTS,8/30/19,114.9,128.41,111.87,126.42,43756914
ZTS,7/31/19,114.33,116.69,112.43,114.89,35711610
ZTS,6/28/19,101.54,116.47,101.54,113.49,47275193
ZTS,5/31/19,102.12,104.41,100.04,101.05,38701844
ZTS,4/30/19,102.41,103.39,96.89,101.84,44093227
ZTS,3/29/19,94.99,100.94,91.21,100.67,46719141
ZTS,2/28/19,86.55,95.55,85.39,94.23,46517140
ZTS,1/31/19,84.51,87.25,81.37,86.16,53756089
ZTS,12/31/18,94.64,94.67,78.9,85.54,43965700
ZTS,11/30/18,93.77,96.57,87.9,93.87,50990572
ZTS,10/31/18,92.03,94.31,86.4,90.15,54405312
ZTS,9/28/18,90.81,91.79,87.93,91.56,39202545
ZTS,8/31/18,86.05,93.67,85,90.6,51381530
ZTS,7/31/18,84.78,87.71,83.25,86.48,50766331
ZTS,6/29/18,84.32,89.25,83.34,85.19,60849965
ZTS,5/31/18,83.46,85.64,77,83.7,56750237
ZTS,4/30/18,83.17,86.38,80.06,83.48,44270049
ZTS,3/29/18,80.86,85.73,79.83,83.51,54050638
ZTS,2/28/18,76.84,83.46,70.2,80.86,59068962
ZTS,1/31/18,72.54,80.13,71.34,76.73,56865565
ZTS,12/29/17,72.22,73.58,70.48,72.04,34558062
ZTS,11/30/17,64.2,72.71,64.02,72.29,52774501
ZTS,10/31/17,63.84,66.345,63.03,63.82,45067399
ZTS,9/29/17,62.75,65.83,62.43,63.76,40421823
ZTS,8/31/17,62.6,62.85,59.5,62.7,51438728
ZTS,7/31/17,62.4,63.53,60.8,62.52,43191307
ZTS,6/30/17,62.45,63.845,60.92,62.38,55515245
ZTS,5/31/17,56.14,63.11,55.48,62.28,74638435
ZTS,4/28/17,53.35,56.65,52.25,56.11,52928749
ZTS,3/31/17,53.73,54.82,52.64,53.37,64827748
ZTS,2/28/17,54.93,56.5035,52,53.31,89417131
ZTS,1/31/17,53.88,54.97,52.71,54.94,57395445
ZTS,12/30/16,50.41,54.15,48.545,53.53,59818434
ZTS,11/30/16,47.61,52.19,46.86,50.38,91536375
ZTS,10/31/16,51.76,53.14,47.76,47.8,64109992
ZTS,9/30/16,51.15,52.17,50.07,52.01,74984818
ZTS,8/31/16,50.47,52.64,49.29,51.1,81313305
ZTS,7/29/16,47.5,50.58,46.835,50.47,49969129
ZTS,6/30/16,47.49,48.68,45.28,47.46,68563055
ZTS,5/31/16,47.2,48.37,45.56,47.42,89359677
ZTS,4/29/16,44.02,49.1,43.9711,47.03,79621923
ZTS,3/31/16,41.49,44.545,39.35,44.33,108768589
ZTS,2/29/16,43,43.39,38.26,41.06,94750549
ZTS,1/29/16,46.94,48.35,42.41,43.05,84613687
ZTS,12/31/15,46.81,48.645,44.94,47.92,55314713
ZTS,11/30/15,43.54,47.569,43.165,46.7,72533170
ZTS,10/30/15,41.07,44.14,39.53,43.01,93822113
ZTS,9/30/15,43.95,46.629,38.98,41.18,83112571
ZTS,8/31/15,49.16,50.25,37.73,44.87,71378402
ZTS,7/31/15,48.75,50.39,46.28,48.98,72053542
ZTS,6/30/15,49.92,55.38,47.04,48.22,78809316
ZTS,5/29/15,44.73,49.96,44.39,49.77,74675249
ZTS,4/30/15,46.3,47.99,44.31,44.42,60058597
ZTS,3/31/15,46.55,47.92,45.48,46.29,67842806
ZTS,2/27/15,43.03,47.4,42.37,46.09,82008581
ZTS,1/30/15,43.46,44.87,42.29,42.73,57976423
ZTS,12/31/14,45.2,45.24,40.83,43.03,84186622
ZTS,11/28/14,37.08,45.09,37.024,44.93,145240908
ZTS,10/31/14,36.87,37.97,34.1612,37.088,87029352
ZTS,9/30/14,35.44,37.31,35.32,36.95,59720899
ZTS,8/29/14,32.77,35.48,31.67,35.44,66864500
ZTS,7/31/14,32.46,33.25,32.02,32.91,45959900
ZTS,6/30/14,30.8,33.05,30.65,32.27,66722200
ZTS,5/30/14,30.31,31.39,29.56,30.7,73478300
ZTS,4/30/14,28.97,30.67,28.135,30.26,84520700
ZTS,3/31/14,30.88,31.3,28.66,28.94,98620900
ZTS,2/28/14,30.4,31.53,28.77,31.02,125099400
ZTS,1/31/14,32.53,32.73,30.07,30.36,76680200
ZTS,12/31/13,31.31,32.84,30.76,32.69,65703300
ZTS,11/29/13,31.77,32.18,30.86,31.15,78081000
ZTS,10/31/13,31.12,33.34,31.01,31.66,80118000
ZTS,9/30/13,29.46,32.9,29.19,31.12,83628200
ZTS,8/30/13,29.97,32.5,28.81,29.15,112794600
ZTS,7/31/13,31.02,31.65,28.97,29.81,157249700
ZTS,6/28/13,32.01,32.99,29.4,30.89,292403400
ZTS,5/31/13,32.97,34.28,31.75,32,72809400
ZTS,4/30/13,33.42,34.74,30.42,33.02,42045100
ZTS,3/28/13,33.36,35.42,32,33.4,37343800
