ticker,timestamp,open,high,low,close,volume
CTLT,2023/10/16,45.2,47.795,42.2,46.52,20089454
CTLT,2023/09/29,50.52,51.79,44.65,45.53,37023200
CTLT,2023/08/31,48,50.56,42.395,49.97,50071292
CTLT,2023/07/31,43.56,49.26,43.13,48.52,52316874
CTLT,2023/06/30,37.2,44.95,36.15,43.36,99219032
CTLT,2023/05/31,50.05,50.61,31.45,37.23,134594456
CTLT,2023/04/28,64.65,67.535,41.33,50.12,95906240
CTLT,2023/03/31,67.65,74.49,61.04,65.71,39368149
CTLT,2023/02/28,54.03,72.72,52.14,68.22,55555645
CTLT,2023/01/31,46,54.35,44.495,53.55,51123831
CTLT,2022/12/30,50.44,53.0558,41.52,45.01,58276167
CTLT,2022/11/30,49.27,53.79,40.69,50.13,93625786
CTLT,2022/10/31,73.1,81.72,64.44,65.73,41485001
CTLT,2022/09/30,87.15,97.54,72.32,72.36,32224865
CTLT,2022/08/31,112.55,115.0799,87.17,88,26657918
CTLT,2022/07/29,107.28,115.335,99,113.1,20174961
CTLT,2022/06/30,102.89,114.1,100.25,107.29,24537884
CTLT,2022/05/31,89.46,105.41,87.71,103.06,26327132
CTLT,2022/04/29,111.59,114.89,86.34,90.56,27709371
CTLT,2022/03/31,102.1,113.53,93.3,110.9,26294186
CTLT,2022/02/28,107.92,113.69,91.17,102.04,23154697
CTLT,2022/01/31,128.03,128.26,95.43,103.93,26345226
CTLT,2021/12/31,129.05,131.42,113.82,128.03,22285358
CTLT,2021/11/30,138.2,140.555,119.01,128.66,23465592
CTLT,2021/10/29,132.68,138.2,126.04,137.86,14240571
CTLT,2021/09/30,130.37,142.64,129.6,133.07,23422891
CTLT,2021/08/31,120.28,132.685,117.22,130.44,17278556
CTLT,2021/07/30,108.17,121.11,108.12,119.81,13504686
CTLT,2021/06/30,104.97,111.19,99.03,108.12,19408820
CTLT,2021/05/28,113,113.6,98.73,104.83,23408923
CTLT,2021/04/30,105.94,115.97,104.62,112.47,16551686
CTLT,2021/03/31,114.78,117.8,97.86,105.31,29274556
CTLT,2021/02/26,116.91,127.68,109.34,113.71,19006292
CTLT,2021/01/29,104.84,120.18,103,115.05,19155322
CTLT,2020/12/31,96.35,106.55,91.87,104.07,27240687
CTLT,2020/11/30,88.78,120.48,87.16,96.14,27999563
CTLT,2020/10/30,86.46,96.38,82.88,87.77,17442448
CTLT,2020/09/30,94.38,95.7,79.65,85.66,57513432
CTLT,2020/08/31,88.37,93.0899,84.69,92.5,15899300
CTLT,2020/07/31,73.52,90.99,72.53,87.34,23429429
CTLT,2020/06/30,77.34,79.19,67.97,73.3,38521664
CTLT,2020/05/29,67.95,80.52,65,77.73,36019289
CTLT,2020/04/30,49.69,69.56,47.01,69.15,22436964
CTLT,2020/03/31,51.84,55.54,31.04,51.95,31887321
CTLT,2020/02/28,67.24,68.78,49.82,51.53,28374262
CTLT,2020/01/31,56.54,63.36,55.35,61.1,14710514
CTLT,2019/12/31,52.11,57.02,50.41,56.3,15353664
CTLT,2019/11/29,48.96,53.25,47.72,51.99,13756811
CTLT,2019/10/31,47.68,50.8,46.43,48.65,13031186
CTLT,2019/09/30,52.43,53.26,47.266,47.66,15388616
