ticker,timestamp,open,high,low,close,volume
OGN,10/16/23,17.23,17.69,15.96,16.86,34595833
OGN,9/29/23,22.15,22.34,16.425,17.36,63290835
OGN,8/31/23,22.04,24.08,21.28,21.96,43969092
OGN,7/31/23,20.74,22.48,19.76,21.98,42997590
OGN,6/30/23,19.52,21.12,18.99,20.81,41041924
OGN,5/31/23,24.69,24.79,18.87,19.39,55502060
OGN,4/28/23,23.63,24.665,22.85,24.63,26959836
OGN,3/31/23,24.5,24.99,20.96,23.52,51429751
OGN,2/28/23,30,30.5,24.11,24.49,43105550
OGN,1/31/23,27.9,32.43,27.86,30.13,41327957
OGN,12/30/22,26.19,28.71,25.73,27.93,42851894
OGN,11/30/22,26.45,27.51,23.34,26.02,43046423
OGN,10/31/22,23.66,26.53,22.88,26.18,41962536
OGN,9/30/22,28.46,30.27,23.33,23.4,39137915
OGN,8/31/22,31.56,33.05,28.32,28.53,36577127
OGN,7/29/22,33.92,34.29,31.06,31.72,28612157
OGN,6/30/22,38.08,38.31,32.42,33.75,29463421
OGN,5/31/22,32.5,39.09,31.635,37.96,36129159
OGN,4/29/22,35.22,36.62,31.485,32.33,31023098
OGN,3/31/22,37.27,39.475,31.57,34.93,60310057
OGN,2/28/22,32.18,37.79,32.01,37.33,41723342
OGN,1/31/22,30.57,33.34,28.942,31.91,39660606
OGN,12/31/21,29.57,30.97,28.5,30.45,46423930
OGN,11/30/21,36.7,37.37,29.05,29.23,51614518
OGN,10/29/21,32.88,37.34,31.92,36.75,30704206
OGN,9/30/21,34.45,35.75,32.59,32.79,38812162
OGN,8/31/21,29.08,36.49,28.5,33.89,55606237
OGN,7/30/21,30.11,31.24,28.42,29.01,42855092
OGN,6/30/21,36.5,38.24,27.25,30.26,161909592
